main_food_group	company_name	product_name	brand_name	product_weight
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Lemon Lime Isotonic Drink	F&N 100 Plus	500ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Lemon Lime Isotonic Drink	F&N 100 Plus	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Lemon Lime Isotonic Drink	F&N 100 Plus	325ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Tangy Tangerine Isotonic Drink	F&N 100 Plus	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Tangy Tangerine Isotonic Drink	F&N 100 Plus	500ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS Isotonic Drink	F&N 100 PLUS	500ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS Isotonic Drink	F&N 100 PLUS	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100PLUS Isotonic Drink	F&N 100 PLUS	325ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS LEMON LIME R2016	F&N 100 PLUS	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100PLUS LEMON LIME R2016	F&N 100 PLUS	325ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS LEMON LIME R2016	F&N 100 PLUS	500ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS Orange ®	F&N 100 PLUS	500ml
Beverages	F&N Foods Pte Ltd	F&N 100PLUS Orange ®	F&N 100 PLUS	1.5L
Beverages	F&N Foods Pte Ltd	F&N Nutri Tea Barley Reduced Sugar	F&N Nutri Tea	1L
Beverages	F&N Foods Pte Ltd	F&N NutriTea Barley Reduced Sugar	F&N Nutritea	475ml
Beverages	F&N Foods Pte Ltd	F&N NutriTea Chrysanthemum with Wolfberry Tea Reduced Sugar	F&N Nutri Tea	1L
Beverages	F&N Foods Pte Ltd	F&N NutriTea Chrysanthemum with Wolfberry Tea Reduced Sugar	F&N Nutri Tea	475ml
Beverages	F&N Foods Pte Ltd	F&N NutriTea Lemongrass with Ginger Reduced Sugar	F&N Nutritea	1L
Beverages	F&N Foods Pte Ltd	F&N NutriTea Lemongrass with Ginger Reduced Sugar	F&N Nutritea	475ml
Beverages	F&N Foods Pte Ltd	F&N NutriTea Reduced Sugar Water Chestnut & Sugar Cane Reduced Sugar	F&N Nutri Tea	1L
Beverages	F&N Foods Pte Ltd	F&N NutriTea Reduced Sugar Water Chestnut & Sugar Cane Reduced Sugar	F&N Nutri Tea	475ml
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL BARLEY	F&N Nutriwell	1L
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL BARLEY	F&N Nutriwell	475ml
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL CHRYSANTHEMUM WITH WOLFBERRY	F&N Nutriwell	1L
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL CHRYSANTHEMUM WITH WOLFBERRY	F&N Nutriwell	475ml
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL LEMONGRASS WITH GINGER	F&N Nutriwell	1L
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL LEMONGRASS WITH GINGER	F&N Nutriwell	475ml
Beverages	F&N Foods Pte Ltd	F&N NutriWell Snow Fungus with Wolfberry	F&N NutriWell	1L
Beverages	F&N Foods Pte Ltd	F&N NutriWell Snow Fungus with Wolfberry	F&N NutriWel	475ml
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL WATER CHESTNUT & SUGAR CANE	F&N Nutriwell	1L
Beverages	F&N Foods Pte Ltd	F&N NUTRIWELL WATER CHESTNUT & SUGAR CANE	F&N Nutriwell	475ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Jasmine Green Tea	F&N Seasons	250ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Jasmine Green Tea	F&N Seasons	300ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell Barley Drink	F&N Seasons	300ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell Barley Drink Reduced Sugar	F&N Seasons	250ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell White Chrysanthemum Tea	F&N Seasons	250ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell White Chrysanthemum Tea	F&N Seasons	1.48L
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell White Chrysanthemum Tea	F&N Seasons	500ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Nutriwell White Chrysanthemum Tea	F&N Seasons	300ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar Barley Drink	F&N Seasons	250ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar Barley Drink	F&N Seasons	300ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar White Chrysanthemum Tea	F&N Seasons	1.48L
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar White Chrysanthemum Tea	F&N Seasons	250ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar White Chrysanthemum Tea	F&N Seasons	300ml
Beverages	F&N Foods Pte Ltd	F&N Seasons Reduced Sugar White Chrysanthemum Tea	F&N Seasons	500ml
Beverages	Min Hiang Food Pte Ltd	First Brew Almond Drink	First Brew	420ml
Beverages	Min Hiang Food Pte Ltd	First Brew Cane Barley Drink	First Brew	420ml
Beverages	Min Hiang Food Pte Ltd	First Brew Ginseng Chrysanthemum Tea	First Brew	420ml
Beverages	Min Hiang Food Pte Ltd	First Brew Luo Han Chrysanthemum Tea	First Brew	420ml
Beverages	Min Hiang Food Pte Ltd	First Brew Water Chestnut Drink	First Brew	420ml
Beverages	Min Hiang Food Pte Ltd	FirstBrew Prunella Tea	First Brew	420ml
Beverages	F&N Foods Pte Ltd	Fruit Tree Fresh No Sugar Added Apple, Beetroot & Carrot Mixed Juice Drink	Fruit Tree Fresh	1L
Beverages	F&N Foods Pte Ltd	Fruit Tree Fresh No Sugar Added Apple, Beetroot & Carrot Mixed Juice Drink	Fruit Tree Fresh	250ml
Beverages	Gold Kili Trading Enterprise (Singapore) Pte Ltd	Gold Kili Instant Red Date Tea	Gold Kili	20 x 18g
Beverages	Gold Kili Trading Enterprise (Singapore) Pte Ltd	Gold Kili Kopi-O Kosong - No Sugar Added	Gold Kili	10g x 20 sachets
Beverages	Royal T Group Pte Ltd	Gong Cha Alisan Tea	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Black Tea Latte	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Camellia Tea	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Green Tea Latte	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Oolong Tea	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Taiwan Black Tea	Gong Cha	500ml
Beverages	Royal T Group Pte Ltd	Gong Cha Taiwan Green Tea	Gong Cha	500ml
Beverages	Asian Story Corporation Pte Ltd	Gooru Gooru Juice Drink with Nata De Coco (Grape Flavor)	Gooru Gooru	310 ml
Beverages	Asian Story Corporation Pte Ltd	Gooru Gooru Juice Drink with Nata De Coco (Grape Flavor)–R2015	Gooru Gooru	310ml
Beverages	Asian Story Corporation Pte Ltd	Gooru Gooru Juice Drink with Nata De Coco (Lychee Flavor)	Gooru Gooru	310 ml
Beverages	Asian Story Corporation Pte Ltd	Gooru Gooru Juice Drink with Nata De Coco (Lychee Flavor) - R2015	Gooru Gooru	310ml
Beverages	Asian Story Corporation Pte Ltd	Gooru Gooru Juice Drink with Nata De Coco (Mango)	Gooru Gooru	310 ml
Beverages	Gopher Beverages Pte Ltd	Gopher + Low GI Isotonic Drink Blackcurrant	Gopher	350ml
Beverages	Gopher Beverages Pte Ltd	Gopher + Low GI Isotonic Drink Pomegranate	Gopher	350ml
Beverages	Gopher Beverages Pte Ltd	Gopher+ Low GI Isotonic Drink-Lemon	Gopher	350ml
Beverages	Sim Lee Heng Investments Pte Ltd	GRAPE FLAVORED DRINK WITH BASIL SEEDS(GOLDEN PAN)-R	Golden Pan Brand	290ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves 7 Degree Celcius Cranberry Flavoured Drink	Green Leaves	470ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves 7 Degree Celcius Grape Flavoured Drink	Green Leaves	470ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves 7 Degree Celcius Green Apple Flavoured Drink	Green Leaves	470ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves 7 Degree Celcius Passion Fruit Flavoured Drink	Green Leaves	470ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Blue Ice Cooling Lemon Flavored Drink	Green Leaves	250ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Blue Ice Cooling Lemon Flavored Drink	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Chill Out Apple Fruity Drink	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Chill Out Blackcurrant Fruity Drink	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Energy-G Thirst Quencher Blueberry Sports Drink	Green Leaves	250ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Energy-G Thirst Quencher Blueberry Sports Drink	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Fireball Grapefruit Flavored with Mint Sensation	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves FR1 Isotonic Sport Drink	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Green Tea Cranberry	Green Leaves	500ml
Beverages	Asia Farm F&B Pte Ltd	Green Leaves Rootbeer Flavored Drink	Green Leaves	350ml
Beverages	Kim Guan Guan Coffee Trading Pte Ltd	Guan's 3 in 1 Kopi Bag (Low Fat Low Sugar)	Guan	15 x18g
Beverages	Wanin Industries Pte Ltd	Guardian Blackcurrant-Lime Flavoured Vitaminised Drink	Guardian	450ml
Beverages	Wanin Industries Pte Ltd	Guardian Peach-Lime Flavoured Vitaminised Drink	Guardian	450ml
Beverages	Wanin Industries Pte Ltd	Guardian Strawberry-Lime Flavoured Vitaminised Drink	Guardian	450ml
Beverages	Heng Da Xing Trading	HDX Sea Buckthorn Juice	HDX	350ml
Beverages	Heng Da Xing Trading	HDX Sea Buckthorn Juice	HDX	380ml
Beverages	Highlanders International Pte Ltd	Highlanders Brown Rice Tea - Original	Highlanders	20s x 6g
Beverages	Highlanders International Pte Ltd	Highlanders Brown Rice Tea - Original	Highlanders	50s x 6g
Beverages	Orange Crush (M) Sdn. Bhd.	Hobie Cranapple Juice	Hobie	250ml
Beverages	Orange Crush (M) Sdn. Bhd.	Hobie Cranapple Juice	Hobie	1L
Beverages	Orange Crush (M) Sdn. Bhd.	Hobie Cranberry with Concord Grape Juice - R	Hobie	250ml
Beverages	Orange Crush (M) Sdn. Bhd.	Hobie Cranberry with Concord Grape Juice - R	Hobie	1L
Beverages	Sim Lee Heng Investments Pte Ltd	HONEY FLAVORED DRINK WITH BASIL SEEDS(GOLDEN PAN)-R	Golden Pan Brand	290g
Beverages	Glaxosmithkline Pte Ltd	Horlicks 3 in 1 Chocolate	Horlicks	10 x 30g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Chocolate Nutritious Malted Drink	Horlicks	1kg
Beverages	Glaxosmithkline Pte Ltd	Horlicks Chocolate Nutritious Malted Drink	Horlicks	200g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Chocolate Nutritious Malted Drink	Horlicks	400g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	1.2kg
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	1.8kg
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	1kg
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	2kg
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	400g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	440g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	450g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	750g
Beverages	Glaxosmithkline Pte Ltd	Horlicks Original	Horlicks	880g
Beverages	Gruppo Del Mondo Pte Ltd	HSC Sparkling Oldenlandia Water	HSC	325ml
Beverages	YHS (Singapore) Pte Ltd	H-TWO-O Original Isotonic Drink (Lemon Lime Flavour) PET (R-2015)	Yeo's	500ml
Beverages	YHS (Singapore) Pte Ltd	H-TWO-O Original Isotonic Drink Can (R-2015) SG	Yeo's	300ml
Beverages	YHS (Singapore) Pte Ltd	H-TWO-O Original Isotonic Drink PET (R-2015) SG	Yeo's	500ml
Beverages	YHS (Singapore) Pte Ltd	H-TWO-O Original Isotonic Drink TB (RR-2015)	Yeo's	250ml
Beverages	Thirst Lifestyle Marketing Pte Ltd	Hung Fook Tong American Ginseng with Honey Drink	Hung Fook Tong	500ml
Beverages	Thirst Lifestyle Marketing Pte Ltd	Hung Fook Tong Chrysanthemum with Honey Drink	Hung Fook Tong	500ml
Beverages	Thirst Lifestyle Marketing Pte Ltd	Hung Fook Tong Xia Ku Cao / Common Selfheal Fruit-spike Drink	Hung Fook Tong	500ml
Beverages	Hung Fook Tong (China) Development Limited	Hung Fook Tong's American Ginseng With Honey	Hung Fook Tong's	500ml
Beverages	Hung Fook Tong (China) Development Limited	Hung Fook Tong's Chrysanthemum with honey	Hung Fook Tong's	500ml
Beverages	Hung Fook Tong (China) Development Limited	Hung Fook Tong's Xia Ku Cao/Common Selfheal Fruit Spike	Hung Fook Tong's	500ml
Beverages	Asia Farm F&B Pte Ltd	I & Joy Blue Ice Junior	I&Joy	350g
Beverages	Asia Farm F&B Pte Ltd	I & Joy Ice Pear Flavoured Drink	I&Joy	500g
Beverages	Asia Farm F&B Pte Ltd	I & Joy Mixed Berries Drink	I&Joy	350g
Beverages	Asia Farm F&B Pte Ltd	I & Joy Yuzu Flavoured Drink	I&Joy	500g
Beverages	PS Food & Beverage (S) Pte Ltd	ISOTONIC PREMIUM DRINK - SPORTS DRINK - ZEST FLAVOR	Isotonic Premium Drink	330g
